intent,current,target,need,status
account_locked,92,100,8,Needs More Samples
account_verification,50,100,50,Needs More Samples
cancel_order,50,100,50,Needs More Samples
cashback_query,50,100,50,Needs More Samples
change_delivery_slot,50,100,50,Needs More Samples
change_email,50,100,50,Needs More Samples
change_phone,50,100,50,Needs More Samples
complaint_status,50,100,50,Needs More Samples
damaged_package,50,100,50,Needs More Samples
deactivate_account,50,100,50,Needs More Samples
delete_account,50,100,50,Needs More Samples
delivery_agent_contact,50,100,50,Needs More Samples
delivery_delay,92,100,8,Needs More Samples
delivery_instructions,50,100,50,Needs More Samples
delivery_status,80,100,20,Needs More Samples
duplicate_payment,50,100,50,Needs More Samples
exchange_order,50,100,50,Needs More Samples
general_query,50,100,50,Needs More Samples
invoice_request,50,100,50,Needs More Samples
login_issue,73,100,27,Needs More Samples
missing_package,50,100,50,Needs More Samples
modify_order,50,100,50,Needs More Samples
order_confirmation,50,100,50,Needs More Samples
order_history,50,100,50,Needs More Samples
order_not_received,50,100,50,Needs More Samples
order_status,97,100,3,Needs More Samples
payment_failed,50,100,50,Needs More Samples
payment_method_change,50,100,50,Needs More Samples
payment_status,50,100,50,Needs More Samples
product_availability,50,100,50,Needs More Samples
product_information,95,100,5,Needs More Samples
product_recommendation,99,100,1,Needs More Samples
profile_update,50,100,50,Needs More Samples
promo_code_issue,50,100,50,Needs More Samples
raise_complaint,50,100,50,Needs More Samples
reactivate_account,90,100,10,Needs More Samples
refund_request,91,100,9,Needs More Samples
refund_status,89,100,11,Needs More Samples
reorder_product,50,100,50,Needs More Samples
reschedule_delivery,94,100,6,Needs More Samples
reset_password,50,100,50,Needs More Samples
return_order,50,100,50,Needs More Samples
speak_to_agent,50,100,50,Needs More Samples
store_location,50,100,50,Needs More Samples
technical_support,50,100,50,Needs More Samples
track_shipment,97,100,3,Needs More Samples
update_address,50,100,50,Needs More Samples
wallet_balance,50,100,50,Needs More Samples
warranty_claim,50,100,50,Needs More Samples
wrong_delivery,50,100,50,Needs More Samples
